name,class,age,mail,year
Jordan Stewart,D,20,xstewart@schneider-salinas.net,2nd
Jerry Williams,C,20,catherine08@gmail.com,4th
Zachary Tapia,D,25,dwilliams@silva.com,3rd
Alison Myers,D,20,wthompson@griffin.org,4th
Matthew Hernandez,C,21,lawrencesantos@gmail.com,1st
Kyle Mason,B,24,kimberly81@ballard.com,2nd
Daniel Hoffman,C,18,gwilliams@brown.com,2nd
Kelly Long,D,21,kevinhood@hotmail.com,2nd
Ashley Williams,A,21,poolekenneth@yahoo.com,2nd
Alexis Kerr,C,18,julia89@greene.org,3rd
Christina Meyer,A,23,klawson@yahoo.com,2nd
Gregory Davis,A,20,ewilliams@yahoo.com,1st
Lisa Griffin,A,19,kgregory@gmail.com,2nd
Christopher Murray,B,19,tony93@yahoo.com,4th
Diana Torres,D,18,kimberlybarnes@nichols-delacruz.com,4th
Alexis Taylor,D,23,eric40@yahoo.com,3rd
Michael Ortiz,D,19,scott55@gmail.com,3rd
Victoria Mason,C,19,hansonkristen@lopez-becker.com,2nd
Vanessa Terry,A,21,erhodes@yahoo.com,2nd
Kimberly Vaughn,C,20,kimberly71@yahoo.com,3rd
Pamela Miller,C,22,michael20@gmail.com,1st
Jeffery Ray,B,25,rhonda14@yahoo.com,4th
Willie Garza,A,23,angela95@murphy-jackson.org,2nd
Michelle Chapman,A,19,ellisjennifer@gmail.com,4th
Rebecca Wiley,C,21,melissa79@jenkins.com,1st
Jeffrey Nunez,D,22,peggyrobinson@flores.com,1st
Harold Love,D,22,tadams@hotmail.com,4th
William Henderson,A,23,emilylewis@torres.com,2nd
Paul Hall,A,25,michellebarnes@davis.info,3rd
Lisa Hill,A,22,anthonywalker@butler-terry.com,4th
Matthew Juarez,A,22,irosales@pacheco-lee.com,3rd
Eric Lee,A,21,klevine@yahoo.com,2nd
Alan Thomas,D,18,evansmelanie@mejia.biz,1st
Michael Franklin,B,24,paullawrence@gmail.com,4th
Joshua Jones,B,25,patrick92@alvarado.com,4th
Charles Smith,C,18,paulsmith@gmail.com,3rd
Nicholas Dodson,C,21,morgan58@martin.com,2nd
Nancy Baker,D,25,brandonmorales@hotmail.com,3rd
Tina Smith,A,20,ocowan@hotmail.com,1st
Mark Palmer,A,18,eespinoza@hart-conner.com,1st
Lindsey Wallace,A,20,dan77@gmail.com,1st
Michael Flowers,D,20,benjamin28@yahoo.com,1st
Sarah Christensen,D,18,randymarshall@yahoo.com,4th
Justin Hatfield,A,21,petermitchell@martinez.net,3rd
Jacob Guerra,B,20,maryrichardson@yu.org,2nd
Joseph Castro,D,23,ushields@chase-santos.com,4th
Lindsey Reed,B,22,katiewelch@donovan.com,3rd
Nicholas Sandoval,C,20,ronald88@snyder.com,4th
Michael Ferguson,B,24,william15@gmail.com,2nd
Kathleen Murray,C,22,martinezanthony@hicks.com,1st
Amanda Davis DDS,C,21,randycobb@jackson-perez.net,3rd
Kenneth Bautista,C,18,nicholas17@gmail.com,2nd
Jake Gregory,B,19,angela67@becker.com,4th
Laurie Webb,C,24,jsmith@yahoo.com,4th
Katherine Johnson,B,20,katrina17@gmail.com,1st
Angela Anderson,C,24,cgray@gmail.com,3rd
Crystal Francis,A,20,robertsonangela@smith-ross.com,1st
Dawn Black,B,24,jamesgreen@yahoo.com,3rd
Jacob Garcia,C,19,simonbobby@gmail.com,2nd
Megan Thomas,C,25,burtonvirginia@willis.net,3rd
Jennifer Edwards,D,23,mclaughlinrickey@yahoo.com,2nd
